2019-05-01 14:29:58,019 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2019-05-01 14:29:58,019 [main] INFO  marytts.SSMLParser Starting power-on self test.
2019-05-01 14:29:58,019 [main] INFO  marytts.SSMLParser Power-on self test complete.
2019-05-01 14:29:58,067 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2019-05-01 14:29:58,067 [main] INFO  marytts.APMLParser Starting power-on self test.
2019-05-01 14:29:58,067 [main] INFO  marytts.APMLParser Power-on self test complete.
2019-05-01 14:29:58,087 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2019-05-01 14:29:58,087 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2019-05-01 14:29:58,087 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2019-05-01 14:29:58,087 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2019-05-01 14:29:58,114 [main] INFO  marytts.JTokeniser Starting power-on self test.
2019-05-01 14:29:58,114 [main] INFO  marytts.JTokeniser Power-on self test complete.
2019-05-01 14:29:58,114 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2019-05-01 14:29:58,114 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2019-05-01 14:29:58,114 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2019-05-01 14:29:58,117 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2019-05-01 14:29:58,117 [main] INFO  marytts.Prosody Starting power-on self test.
2019-05-01 14:29:58,117 [main] INFO  marytts.Prosody Power-on self test complete.
2019-05-01 14:29:58,117 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2019-05-01 14:29:58,118 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2019-05-01 14:29:58,118 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2019-05-01 14:29:58,118 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2019-05-01 14:29:58,118 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2019-05-01 14:29:58,118 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2019-05-01 14:29:58,118 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2019-05-01 14:29:58,118 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2019-05-01 14:29:58,118 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2019-05-01 14:29:58,118 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2019-05-01 14:29:58,118 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2019-05-01 14:29:58,118 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2019-05-01 14:29:58,118 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2019-05-01 14:29:58,119 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2019-05-01 14:29:58,119 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2019-05-01 14:29:58,119 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2019-05-01 14:29:58,119 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2019-05-01 14:29:58,119 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2019-05-01 14:29:58,119 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2019-05-01 14:29:58,119 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2019-05-01 14:29:58,119 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2019-05-01 14:29:58,130 [main] INFO  marytts.JTokeniser Starting power-on self test.
2019-05-01 14:29:58,130 [main] INFO  marytts.JTokeniser Power-on self test complete.
2019-05-01 14:29:58,130 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2019-05-01 14:29:58,130 [main] INFO  marytts.Preprocess Starting power-on self test.
2019-05-01 14:29:58,130 [main] INFO  marytts.Preprocess Power-on self test complete.
2019-05-01 14:29:58,130 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2019-05-01 14:29:58,132 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2019-05-01 14:29:58,132 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2019-05-01 14:29:58,132 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2019-05-01 14:29:58,132 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2019-05-01 14:29:58,133 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2019-05-01 14:29:58,137 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2019-05-01 14:29:58,137 [main] INFO  marytts.Prosody Starting power-on self test.
2019-05-01 14:29:58,137 [main] INFO  marytts.Prosody Power-on self test complete.
2019-05-01 14:29:58,137 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2019-05-01 14:29:58,137 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
